Time[s], HydroForceZ[N], HydroMomentY[Nm], OmegaY[rad/s], Pitch[deg]
0.09002, -368.5692, 70.3145, -0.27381, -1.8472
0.09004, -368.5864, 70.3168, -0.19142, -1.8474
0.09006, -368.5764, 70.3152, -0.12252, -1.8476
0.09008, -368.5404, 70.3087, -0.07266, -1.8477
0.09010, -368.4977, 70.3008, -0.04036, -1.8478
0.09012, -368.4803, 70.2994, -0.02156, -1.8478
0.09014, -368.4392, 70.2927, -0.01199, -1.8478
0.09016, -368.3917, 70.2848, -0.00807, -1.8478
0.09018, -368.3628, 70.2808, -0.00720, -1.8478
0.09020, -368.3335, 70.2774, -0.00774, -1.8479
0.09022, -368.3055, 70.2740, -0.00872, -1.8479
0.09024, -368.2931, 70.2738, -0.00968, -1.8479
0.09026, -368.2850, 70.2749, -0.01044, -1.8479
0.09028, -368.2645, 70.2732, -0.01095, -1.8479
0.09030, -368.2563, 70.2737, -0.01126, -1.8479
0.09032, -368.2284, 70.2713, -0.01142, -1.8479
0.09034, -368.1664, 70.2601, -0.01149, -1.8479
0.09037, -368.1146, 70.2513, -0.01149, -1.8480
0.09039, -368.0942, 70.2503, -0.01148, -1.8480
0.09041, -368.0907, 70.2526, -0.01145, -1.8480
0.09043, -368.0853, 70.2549, -0.01142, -1.8480
0.09045, -368.0632, 70.2525, -0.01139, -1.8480
0.09047, -368.0705, 70.2566, -0.01136, -1.8480
0.09049, -368.0807, 70.2618, -0.01134, -1.8480
0.09051, -368.0495, 70.2572, -0.01132, -1.8480
0.09053, -368.0169, 70.2536, -0.01130, -1.8481
0.09055, -368.0154, 70.2562, -0.01129, -1.8481
0.09057, -368.0226, 70.2606, -0.01127, -1.8481
0.09059, -368.0069, 70.2593, -0.01125, -1.8481
0.09061, -367.9631, 70.2534, -0.01124, -1.8481
0.09063, -367.9557, 70.2543, -0.01122, -1.8481
0.09065, -367.9749, 70.2624, -0.01121, -1.8481
0.09067, -367.9979, 70.2702, -0.01119, -1.8482
0.09070, -368.0036, 70.2758, -0.01118, -1.8482
0.09072, -368.0063, 70.2796, -0.01116, -1.8482
0.09074, -368.0002, 70.2815, -0.01114, -1.8482
0.09076, -368.0216, 70.2889, -0.01112, -1.8482
0.09078, -368.0324, 70.2953, -0.01110, -1.8482
0.09080, -368.0398, 70.3002, -0.01108, -1.8482
0.09082, -368.0222, 70.2990, -0.01106, -1.8482
0.09084, -368.0399, 70.3067, -0.01104, -1.8483
0.09086, -368.0619, 70.3144, -0.01102, -1.8483
0.09088, -368.0684, 70.3198, -0.01100, -1.8483
0.09090, -368.0927, 70.3280, -0.01098, -1.8483
0.09093, -368.1033, 70.3341, -0.01096, -1.8483
0.09095, -368.1215, 70.3405, -0.01094, -1.8483
0.09097, -368.1717, 70.3560, -0.01092, -1.8483
0.09099, -368.1722, 70.3593, -0.01089, -1.8484
0.09101, -368.1585, 70.3602, -0.01087, -1.8484
0.09103, -368.1546, 70.3624, -0.01085, -1.8484
0.09105, -368.1747, 70.3701, -0.01082, -1.8484
0.09107, -368.1932, 70.3777, -0.01080, -1.8484
0.09110, -368.2016, 70.3822, -0.01077, -1.8484
0.09112, -368.2282, 70.3918, -0.01075, -1.8484
0.09114, -368.2147, 70.3929, -0.01073, -1.8484
0.09116, -368.2165, 70.3973, -0.01070, -1.8485
0.09118, -368.2282, 70.4026, -0.01068, -1.8485
0.09120, -368.2442, 70.4094, -0.01065, -1.8485
0.09122, -368.2525, 70.4157, -0.01063, -1.8485
0.09125, -368.2725, 70.4236, -0.01060, -1.8485
0.09127, -368.3059, 70.4351, -0.01057, -1.8485
0.09129, -368.3401, 70.4466, -0.01055, -1.8485
0.09131, -368.3410, 70.4506, -0.01052, -1.8486
0.09133, -368.3510, 70.4559, -0.01049, -1.8486
0.09135, -368.3881, 70.4685, -0.01046, -1.8486
0.09137, -368.4241, 70.4798, -0.01043, -1.8486
0.09140, -368.4377, 70.4862, -0.01040, -1.8486
0.09142, -368.4566, 70.4944, -0.01037, -1.8486
0.09144, -368.4501, 70.4972, -0.01035, -1.8486
0.09146, -368.4836, 70.5091, -0.01032, -1.8486
0.09148, -368.4982, 70.5159, -0.01029, -1.8487
0.09150, -368.5210, 70.5249, -0.01025, -1.8487
0.09153, -368.5373, 70.5317, -0.01022, -1.8487
0.09155, -368.5289, 70.5333, -0.01019, -1.8487
0.09157, -368.5609, 70.5443, -0.01016, -1.8487
0.09159, -368.5688, 70.5493, -0.01013, -1.8487
0.09161, -368.5957, 70.5588, -0.01010, -1.8487
0.09164, -368.6010, 70.5634, -0.01007, -1.8487
0.09166, -368.6327, 70.5744, -0.01004, -1.8488
0.09168, -368.6711, 70.5874, -0.01001, -1.8488
0.09170, -368.6970, 70.5967, -0.00998, -1.8488
0.09172, -368.7105, 70.6034, -0.00995, -1.8488
0.09175, -368.7572, 70.6169, -0.00991, -1.8488
0.09177, -368.8005, 70.6301, -0.00988, -1.8488
0.09179, -368.8192, 70.6384, -0.00985, -1.8488
0.09181, -368.8350, 70.6446, -0.00982, -1.8488
0.09183, -368.8737, 70.6571, -0.00978, -1.8489
0.09186, -368.9332, 70.6751, -0.00975, -1.8489
0.09188, -368.9682, 70.6867, -0.00972, -1.8489
0.09190, -368.9908, 70.6956, -0.00968, -1.8489
0.09192, -369.0086, 70.7033, -0.00965, -1.8489
0.09194, -369.0240, 70.7103, -0.00961, -1.8489
0.09197, -369.0745, 70.7256, -0.00957, -1.8489
0.09199, -369.1214, 70.7390, -0.00954, -1.8489
0.09201, -369.1566, 70.7501, -0.00950, -1.8490
0.09203, -369.2128, 70.7663, -0.00947, -1.8490
0.09206, -369.2513, 70.7785, -0.00943, -1.8490
0.09208, -369.3012, 70.7934, -0.00940, -1.8490
0.09210, -369.3502, 70.8082, -0.00936, -1.8490
0.09212, -369.3882, 70.8201, -0.00932, -1.8490
0.09215, -369.4239, 70.8317, -0.00928, -1.8490
0.09217, -369.4535, 70.8420, -0.00925, -1.8490
0.09219, -369.4788, 70.8509, -0.00921, -1.8491
0.09221, -369.4962, 70.8578, -0.00917, -1.8491
0.09224, -369.5304, 70.8695, -0.00913, -1.8491
0.09226, -369.5840, 70.8838, -0.00909, -1.8491
0.09228, -369.6029, 70.8913, -0.00906, -1.8491
0.09230, -369.6236, 70.8999, -0.00902, -1.8491
0.09233, -369.6428, 70.9080, -0.00898, -1.8491
0.09235, -369.6819, 70.9199, -0.00894, -1.8491
0.09237, -369.7287, 70.9343, -0.00891, -1.8491
0.09239, -369.7729, 70.9477, -0.00887, -1.8492
0.09242, -369.7820, 70.9531, -0.00883, -1.8492
0.09244, -369.8173, 70.9652, -0.00879, -1.8492
0.09246, -369.8712, 70.9805, -0.00875, -1.8492
0.09248, -369.9491, 71.0008, -0.00871, -1.8492
0.09251, -370.0178, 71.0200, -0.00867, -1.8492
0.09253, -370.0831, 71.0375, -0.00863, -1.8492
0.09255, -370.1212, 71.0494, -0.00859, -1.8492
0.09258, -370.1679, 71.0635, -0.00855, -1.8492
0.09260, -370.1927, 71.0723, -0.00851, -1.8493
0.09262, -370.2361, 71.0843, -0.00847, -1.8493
0.09264, -370.2503, 71.0913, -0.00843, -1.8493
0.09267, -370.2872, 71.1029, -0.00839, -1.8493
0.09269, -370.3186, 71.1130, -0.00835, -1.8493
0.09271, -370.3541, 71.1253, -0.00831, -1.8493
0.09274, -370.4096, 71.1412, -0.00826, -1.8493
0.09276, -370.4725, 71.1582, -0.00822, -1.8493
0.09278, -370.5347, 71.1759, -0.00818, -1.8493
0.09280, -370.5847, 71.1906, -0.00814, -1.8494
0.09283, -370.6166, 71.2005, -0.00809, -1.8494
0.09285, -370.6730, 71.2160, -0.00805, -1.8494
0.09287, -370.7226, 71.2301, -0.00801, -1.8494
0.09290, -370.7425, 71.2375, -0.00797, -1.8494
0.09292, -370.7962, 71.2532, -0.00793, -1.8494
0.09294, -370.8476, 71.2673, -0.00788, -1.8494
0.09297, -370.8940, 71.2817, -0.00784, -1.8494
0.09299, -370.9686, 71.3026, -0.00780, -1.8494
0.09301, -371.0176, 71.3169, -0.00776, -1.8495
0.09304, -371.0650, 71.3305, -0.00771, -1.8495
0.09306, -371.0940, 71.3408, -0.00766, -1.8495
0.09308, -371.1296, 71.3521, -0.00762, -1.8495
0.09311, -371.1384, 71.3576, -0.00757, -1.8495
0.09313, -371.1762, 71.3690, -0.00753, -1.8495
0.09315, -371.2409, 71.3859, -0.00748, -1.8495
0.09318, -371.2829, 71.3980, -0.00744, -1.8495
0.09320, -371.3447, 71.4159, -0.00740, -1.8495
0.09322, -371.3763, 71.4260, -0.00736, -1.8495
0.09325, -371.4253, 71.4407, -0.00731, -1.8496
0.09327, -371.4658, 71.4536, -0.00727, -1.8496
0.09330, -371.5063, 71.4658, -0.00723, -1.8496
0.09332, -371.5411, 71.4768, -0.00718, -1.8496
0.09334, -371.5936, 71.4926, -0.00713, -1.8496
0.09337, -371.6348, 71.5042, -0.00709, -1.8496
0.09339, -371.6848, 71.5185, -0.00704, -1.8496
0.09341, -371.7446, 71.5355, -0.00700, -1.8496
0.09344, -371.7966, 71.5498, -0.00696, -1.8496
0.09346, -371.8128, 71.5557, -0.00691, -1.8496
0.09348, -371.8551, 71.5693, -0.00687, -1.8496
0.09351, -371.8677, 71.5746, -0.00683, -1.8497
0.09353, -371.8748, 71.5792, -0.00678, -1.8497
0.09356, -371.9061, 71.5894, -0.00674, -1.8497
0.09358, -371.9401, 71.6005, -0.00670, -1.8497
0.09360, -371.9767, 71.6116, -0.00666, -1.8497
0.09363, -372.0379, 71.6288, -0.00662, -1.8497
0.09365, -372.1009, 71.6469, -0.00658, -1.8497
0.09368, -372.1613, 71.6638, -0.00653, -1.8497
0.09370, -372.1710, 71.6690, -0.00649, -1.8497
0.09372, -372.2321, 71.6858, -0.00644, -1.8497
0.09375, -372.2701, 71.6974, -0.00640, -1.8498
0.09377, -372.3038, 71.7085, -0.00635, -1.8498
0.09380, -372.3752, 71.7288, -0.00631, -1.8498
0.09382, -372.4266, 71.7436, -0.00627, -1.8498
0.09385, -372.4966, 71.7624, -0.00622, -1.8498
0.09387, -372.5441, 71.7765, -0.00617, -1.8498
0.09389, -372.5893, 71.7893, -0.00613, -1.8498
0.09392, -372.6159, 71.7978, -0.00608, -1.8498
0.09394, -372.6680, 71.8130, -0.00604, -1.8498
0.09397, -372.6955, 71.8219, -0.00599, -1.8498
0.09399, -372.7327, 71.8338, -0.00595, -1.8498
0.09402, -372.7812, 71.8488, -0.00591, -1.8498
0.09404, -372.8280, 71.8626, -0.00586, -1.8499
0.09407, -372.9075, 71.8833, -0.00582, -1.8499
0.09409, -372.9447, 71.8948, -0.00577, -1.8499
0.09411, -372.9714, 71.9042, -0.00572, -1.8499
0.09414, -373.0389, 71.9222, -0.00568, -1.8499
0.09416, -373.0816, 71.9347, -0.00563, -1.8499
0.09419, -373.1118, 71.9455, -0.00559, -1.8499
0.09421, -373.1439, 71.9553, -0.00554, -1.8499
0.09424, -373.2071, 71.9726, -0.00550, -1.8499
0.09426, -373.2664, 71.9892, -0.00545, -1.8499
0.09429, -373.3162, 72.0031, -0.00541, -1.8499
0.09431, -373.3563, 72.0150, -0.00536, -1.8499
0.09434, -373.3857, 72.0247, -0.00532, -1.8499
0.09436, -373.4145, 72.0338, -0.00528, -1.8500
0.09439, -373.4543, 72.0461, -0.00523, -1.8500
0.09441, -373.5004, 72.0604, -0.00519, -1.8500
0.09444, -373.5654, 72.0778, -0.00514, -1.8500
0.09446, -373.5892, 72.0863, -0.00510, -1.8500
0.09449, -373.6520, 72.1048, -0.00505, -1.8500
0.09451, -373.7060, 72.1195, -0.00501, -1.8500
0.09454, -373.7535, 72.1332, -0.00496, -1.8500
0.09456, -373.8179, 72.1515, -0.00491, -1.8500
0.09459, -373.8862, 72.1697, -0.00487, -1.8500
0.09461, -373.9286, 72.1819, -0.00482, -1.8500
0.09464, -373.9668, 72.1929, -0.00477, -1.8500
0.09466, -373.9986, 72.2038, -0.00473, -1.8500
0.09469, -374.0229, 72.2122, -0.00469, -1.8500
0.09472, -374.0572, 72.2228, -0.00464, -1.8501
0.09474, -374.0792, 72.2312, -0.00460, -1.8501
0.09477, -374.1369, 72.2477, -0.00455, -1.8501
0.09479, -374.1812, 72.2615, -0.00451, -1.8501
0.09482, -374.2065, 72.2707, -0.00446, -1.8501
0.09484, -374.2464, 72.2828, -0.00441, -1.8501
0.09487, -374.3183, 72.3024, -0.00437, -1.8501
0.09489, -374.3534, 72.3144, -0.00432, -1.8501
0.09492, -374.4028, 72.3273, -0.00427, -1.8501
0.09495, -374.4640, 72.3435, -0.00423, -1.8501
0.09497, -374.4996, 72.3553, -0.00418, -1.8501
0.09500, -374.5334, 72.3660, -0.00414, -1.8501
0.09502, -374.5900, 72.3825, -0.00409, -1.8501
0.09505, -374.6328, 72.3968, -0.00405, -1.8501
0.09508, -374.7086, 72.4166, -0.00400, -1.8501
0.09510, -374.7211, 72.4220, -0.00395, -1.8502
0.09513, -374.7769, 72.4390, -0.00390, -1.8502
0.09515, -374.8263, 72.4530, -0.00386, -1.8502
0.09518, -374.8602, 72.4629, -0.00381, -1.8502
0.09521, -374.9018, 72.4755, -0.00376, -1.8502
0.09523, -374.9651, 72.4940, -0.00372, -1.8502
0.09526, -375.0428, 72.5138, -0.00367, -1.8502
0.09529, -375.1273, 72.5356, -0.00363, -1.8502
0.09531, -375.1458, 72.5426, -0.00358, -1.8502
0.09534, -375.1734, 72.5517, -0.00354, -1.8502
0.09537, -375.2021, 72.5608, -0.00349, -1.8502
0.09539, -375.2237, 72.5703, -0.00345, -1.8502
0.09542, -375.2921, 72.5884, -0.00340, -1.8502
0.09545, -375.3434, 72.6029, -0.00335, -1.8502
0.09547, -375.3809, 72.6151, -0.00331, -1.8502
0.09550, -375.4036, 72.6228, -0.00326, -1.8502
0.09553, -375.4381, 72.6337, -0.00321, -1.8502
0.09555, -375.4758, 72.6458, -0.00317, -1.8502
0.09558, -375.4884, 72.6511, -0.00312, -1.8502
0.09561, -375.5318, 72.6643, -0.00308, -1.8503
0.09563, -375.5667, 72.6761, -0.00304, -1.8503
0.09566, -375.5911, 72.6838, -0.00299, -1.8503
0.09569, -375.6248, 72.6942, -0.00295, -1.8503
0.09572, -375.6805, 72.7099, -0.00290, -1.8503
0.09574, -375.7465, 72.7285, -0.00286, -1.8503
0.09577, -375.7693, 72.7366, -0.00282, -1.8503
0.09580, -375.7848, 72.7423, -0.00277, -1.8503
0.09582, -375.8303, 72.7555, -0.00273, -1.8503
0.09585, -375.8735, 72.7673, -0.00269, -1.8503
0.09588, -375.9044, 72.7770, -0.00265, -1.8503
0.09591, -375.9516, 72.7913, -0.00261, -1.8503
0.09593, -375.9957, 72.8048, -0.00257, -1.8503
0.09596, -376.0479, 72.8188, -0.00253, -1.8503
0.09599, -376.0797, 72.8294, -0.00248, -1.8503
0.09602, -376.1536, 72.8478, -0.00244, -1.8503
0.09605, -376.2187, 72.8655, -0.00240, -1.8503
0.09607, -376.2311, 72.8717, -0.00236, -1.8503
0.09610, -376.2415, 72.8782, -0.00231, -1.8503
0.09613, -376.2931, 72.8920, -0.00227, -1.8503
0.09616, -376.3760, 72.9130, -0.00223, -1.8503
0.09619, -376.3993, 72.9222, -0.00218, -1.8503
0.09621, -376.4363, 72.9324, -0.00214, -1.8503
0.09624, -376.4842, 72.9452, -0.00209, -1.8503
0.09627, -376.5156, 72.9551, -0.00205, -1.8503
0.09630, -376.5197, 72.9602, -0.00201, -1.8504
0.09633, -376.5467, 72.9690, -0.00197, -1.8504
0.09636, -376.5706, 72.9774, -0.00193, -1.8504
0.09638, -376.6159, 72.9923, -0.00189, -1.8504
0.09641, -376.6870, 73.0101, -0.00184, -1.8504
0.09644, -376.7103, 73.0177, -0.00180, -1.8504
0.09647, -376.7465, 73.0292, -0.00176, -1.8504
0.09650, -376.7886, 73.0430, -0.00171, -1.8504
0.09653, -376.8519, 73.0594, -0.00167, -1.8504
0.09656, -376.8882, 73.0711, -0.00163, -1.8504
0.09659, -376.9400, 73.0868, -0.00159, -1.8504
0.09662, -376.9759, 73.0967, -0.00154, -1.8504
0.09665, -376.9988, 73.1046, -0.00150, -1.8504
0.09667, -377.0530, 73.1197, -0.00145, -1.8504
0.09670, -377.0935, 73.1332, -0.00141, -1.8504
0.09673, -377.1389, 73.1455, -0.00137, -1.8504
0.09676, -377.1670, 73.1547, -0.00133, -1.8504
0.09679, -377.2157, 73.1682, -0.00128, -1.8504
0.09682, -377.2513, 73.1804, -0.00124, -1.8504
0.09685, -377.3072, 73.1956, -0.00120, -1.8504
0.09688, -377.3717, 73.2135, -0.00115, -1.8504
0.09691, -377.3918, 73.2209, -0.00111, -1.8504
0.09694, -377.4619, 73.2406, -0.00106, -1.8504
0.09697, -377.4764, 73.2468, -0.00102, -1.8504
0.09700, -377.4965, 73.2551, -0.00097, -1.8504
0.09703, -377.5021, 73.2582, -0.00093, -1.8504
0.09706, -377.5488, 73.2735, -0.00088, -1.8504
0.09709, -377.6084, 73.2897, -0.00084, -1.8504
0.09712, -377.6801, 73.3090, -0.00079, -1.8504
0.09715, -377.7057, 73.3183, -0.00075, -1.8504
0.09718, -377.7535, 73.3320, -0.00070, -1.8504
0.09721, -377.7999, 73.3465, -0.00066, -1.8504
0.09724, -377.8389, 73.3574, -0.00061, -1.8504
0.09727, -377.8688, 73.3664, -0.00057, -1.8504
0.09731, -377.9151, 73.3795, -0.00052, -1.8504
0.09734, -377.9201, 73.3849, -0.00048, -1.8504
0.09737, -377.9449, 73.3931, -0.00044, -1.8504
0.09740, -377.9920, 73.4062, -0.00040, -1.8504
0.09743, -378.0454, 73.4207, -0.00036, -1.8504
0.09746, -378.0927, 73.4347, -0.00032, -1.8504
0.09749, -378.1563, 73.4537, -0.00027, -1.8504
0.09752, -378.2217, 73.4708, -0.00023, -1.8504
0.09755, -378.2544, 73.4800, -0.00018, -1.8504
0.09759, -378.2892, 73.4910, -0.00014, -1.8504
0.09762, -378.3079, 73.4982, -0.00010, -1.8504
0.09765, -378.3465, 73.5103, -0.00005, -1.8504
0.09768, -378.4077, 73.5289, -0.00001, -1.8504
0.09771, -378.4629, 73.5429, 0.00003, -1.8504
0.09774, -378.4738, 73.5478, 0.00008, -1.8504
0.09778, -378.4968, 73.5564, 0.00013, -1.8504
0.09781, -378.5776, 73.5777, 0.00017, -1.8504
0.09784, -378.6269, 73.5918, 0.00021, -1.8504
0.09787, -378.6910, 73.6107, 0.00026, -1.8504
0.09790, -378.7498, 73.6260, 0.00030, -1.8504
0.09794, -378.7804, 73.6350, 0.00035, -1.8504
0.09797, -378.7784, 73.6370, 0.00040, -1.8504
0.09800, -378.8020, 73.6455, 0.00044, -1.8504
0.09803, -378.8549, 73.6613, 0.00048, -1.8504
0.09807, -378.9341, 73.6841, 0.00052, -1.8504
0.09810, -378.9796, 73.6954, 0.00057, -1.8504
0.09813, -379.0128, 73.7057, 0.00062, -1.8504
0.09816, -379.0810, 73.7248, 0.00066, -1.8504
0.09820, -379.1368, 73.7400, 0.00071, -1.8504
0.09823, -379.1939, 73.7568, 0.00075, -1.8504
0.09826, -379.2699, 73.7769, 0.00080, -1.8504
0.09829, -379.2906, 73.7850, 0.00085, -1.8504
0.09833, -379.3520, 73.8045, 0.00090, -1.8504
0.09836, -379.4489, 73.8291, 0.00095, -1.8504
0.09839, -379.5130, 73.8467, 0.00100, -1.8504
0.09843, -379.5292, 73.8544, 0.00106, -1.8504
0.09846, -379.5805, 73.8690, 0.00111, -1.8504
0.09850, -379.6483, 73.8870, 0.00116, -1.8504
0.09853, -379.6851, 73.8979, 0.00121, -1.8504
0.09856, -379.7167, 73.9087, 0.00126, -1.8504
0.09860, -379.7362, 73.9165, 0.00131, -1.8504
0.09863, -379.7864, 73.9343, 0.00136, -1.8504
0.09866, -379.8189, 73.9434, 0.00141, -1.8504
0.09870, -379.8948, 73.9634, 0.00147, -1.8504
0.09873, -379.9373, 73.9768, 0.00152, -1.8504
0.09877, -380.0003, 73.9940, 0.00157, -1.8504
0.09880, -380.0337, 74.0052, 0.00162, -1.8504
0.09884, -380.0978, 74.0227, 0.00167, -1.8504
0.09887, -380.1644, 74.0414, 0.00172, -1.8504
0.09890, -380.2046, 74.0540, 0.00177, -1.8504
0.09894, -380.2625, 74.0713, 0.00182, -1.8504
0.09897, -380.3109, 74.0850, 0.00187, -1.8504
0.09901, -380.3620, 74.0991, 0.00192, -1.8504
0.09904, -380.4356, 74.1230, 0.00198, -1.8504
0.09908, -380.4726, 74.1337, 0.00203, -1.8504
0.09911, -380.5263, 74.1487, 0.00209, -1.8503
0.09915, -380.5517, 74.1575, 0.00215, -1.8503
0.09918, -380.6366, 74.1800, 0.00220, -1.8503
0.09922, -380.6686, 74.1903, 0.00225, -1.8503
0.09925, -380.7067, 74.2022, 0.00230, -1.8503
0.09929, -380.7920, 74.2250, 0.00235, -1.8503
0.09933, -380.8564, 74.2442, 0.00240, -1.8503
0.09936, -380.8874, 74.2548, 0.00245, -1.8503
0.09940, -380.8914, 74.2592, 0.00251, -1.8503
0.09943, -380.8967, 74.2646, 0.00256, -1.8503
0.09947, -380.9290, 74.2751, 0.00262, -1.8503
0.09950, -380.9975, 74.2938, 0.00267, -1.8503
0.09954, -381.0420, 74.3065, 0.00272, -1.8503
0.09957, -381.0857, 74.3202, 0.00277, -1.8503
0.09961, -381.1069, 74.3281, 0.00281, -1.8503
0.09965, -381.1092, 74.3320, 0.00286, -1.8503
0.09968, -381.1435, 74.3429, 0.00291, -1.8503
0.09972, -381.1878, 74.3562, 0.00295, -1.8503
0.09975, -381.2273, 74.3685, 0.00300, -1.8503
0.09979, -381.2504, 74.3758, 0.00305, -1.8502
0.09982, -381.2701, 74.3829, 0.00309, -1.8502
0.09986, -381.3356, 74.4021, 0.00313, -1.8502
0.09989, -381.3804, 74.4162, 0.00317, -1.8502
0.09993, -381.4325, 74.4315, 0.00322, -1.8502
0.09996, -381.4632, 74.4415, 0.00327, -1.8502
0.10000, -381.4702, 74.4451, 0.00332, -1.8502
0.10004, -381.5266, 74.4662, 0.00337, -1.8502
0.10007, -381.5837, 74.4801, 0.00341, -1.8502
0.10011, -381.6280, 74.4930, 0.00347, -1.8502
0.10015, -381.6776, 74.5068, 0.00352, -1.8502
0.10019, -381.7065, 74.5160, 0.00356, -1.8502
0.10022, -381.7143, 74.5199, 0.00361, -1.8502
0.10026, -381.7449, 74.5308, 0.00365, -1.8502
0.10030, -381.7851, 74.5425, 0.00369, -1.8501
0.10034, -381.8337, 74.5575, 0.00373, -1.8501
0.10038, -381.8610, 74.5670, 0.00377, -1.8501
0.10041, -381.9007, 74.5785, 0.00382, -1.8501
0.10045, -381.9789, 74.6000, 0.00387, -1.8501
0.10049, -382.0296, 74.6136, 0.00392, -1.8501
0.10053, -382.0681, 74.6259, 0.00396, -1.8501
0.10057, -382.0727, 74.6297, 0.00401, -1.8501
0.10060, -382.1252, 74.6451, 0.00405, -1.8501
0.10064, -382.1684, 74.6579, 0.00410, -1.8501
0.10068, -382.1812, 74.6629, 0.00414, -1.8501
0.10072, -382.1849, 74.6667, 0.00418, -1.8501
0.10076, -382.2185, 74.6768, 0.00423, -1.8500
0.10080, -382.2742, 74.6933, 0.00427, -1.8500
0.10084, -382.2898, 74.6988, 0.00431, -1.8500
0.10088, -382.3198, 74.7080, 0.00435, -1.8500
0.10092, -382.3767, 74.7257, 0.00439, -1.8500
0.10096, -382.4011, 74.7337, 0.00443, -1.8500
0.10100, -382.4280, 74.7439, 0.00448, -1.8500
0.10103, -382.4378, 74.7490, 0.00452, -1.8500
0.10107, -382.4789, 74.7608, 0.00457, -1.8500
0.10111, -382.5160, 74.7719, 0.00461, -1.8500
0.10115, -382.5241, 74.7776, 0.00465, -1.8499
0.10119, -382.5116, 74.7779, 0.00469, -1.8499
0.10123, -382.4909, 74.7768, 0.00473, -1.8499
0.10127, -382.4771, 74.7766, 0.00477, -1.8499
0.10131, -382.4223, 74.7667, 0.00481, -1.8499
0.10136, -382.4502, 74.7757, 0.00484, -1.8499
0.10139, -382.4146, 74.7718, 0.00488, -1.8499
0.10143, -382.4043, 74.7725, 0.00491, -1.8499
0.10148, -382.4052, 74.7763, 0.00494, -1.8499
0.10152, -382.4089, 74.7790, 0.00497, -1.8498
0.10156, -382.4344, 74.7889, 0.00500, -1.8498
0.10160, -382.3886, 74.7815, 0.00502, -1.8498
0.10164, -382.4031, 74.7889, 0.00505, -1.8498
0.10168, -382.3678, 74.7831, 0.00508, -1.8498
0.10172, -382.3296, 74.7778, 0.00511, -1.8498
0.10176, -382.2749, 74.7685, 0.00513, -1.8498
0.10180, -382.2249, 74.7610, 0.00515, -1.8498
0.10185, -382.1872, 74.7543, 0.00517, -1.8497
0.10189, -382.1728, 74.7544, 0.00519, -1.8497
0.10193, -382.1396, 74.7502, 0.00521, -1.8497
0.10197, -382.0742, 74.7380, 0.00522, -1.8497
0.10201, -382.0285, 74.7307, 0.00524, -1.8497
0.10205, -382.0047, 74.7295, 0.00525, -1.8497
0.10210, -381.9728, 74.7259, 0.00526, -1.8497
0.10214, -381.9454, 74.7236, 0.00528, -1.8497
0.10218, -381.8928, 74.7141, 0.00529, -1.8496
0.10222, -381.8343, 74.7046, 0.00531, -1.8496
0.10227, -381.7961, 74.6992, 0.00532, -1.8496
0.10231, -381.7103, 74.6831, 0.00532, -1.8496
0.10235, -381.6210, 74.6655, 0.00533, -1.8496
0.10239, -381.5382, 74.6502, 0.00533, -1.8496
0.10244, -381.4877, 74.6420, 0.00533, -1.8496
0.10248, -381.4247, 74.6302, 0.00533, -1.8496
0.10252, -381.3757, 74.6218, 0.00533, -1.8495
0.10257, -381.2302, 74.5911, 0.00533, -1.8495
0.10261, -381.1356, 74.5732, 0.00532, -1.8495
0.10265, -381.0507, 74.5555, 0.00531, -1.8495
0.10270, -380.9709, 74.5407, 0.00529, -1.8495
0.10274, -380.8222, 74.5087, 0.00528, -1.8495
0.10279, -380.6872, 74.4806, 0.00526, -1.8495
0.10283, -380.5931, 74.4606, 0.00524, -1.8495
0.10287, -380.4996, 74.4439, 0.00521, -1.8494
0.10292, -380.3866, 74.4192, 0.00518, -1.8494
0.10296, -380.2723, 74.3959, 0.00516, -1.8494
0.10301, -380.1931, 74.3818, 0.00513, -1.8494
0.10305, -380.0494, 74.3518, 0.00510, -1.8494
0.10310, -379.8897, 74.3186, 0.00507, -1.8494
0.10314, -379.7464, 74.2887, 0.00504, -1.8494
0.10319, -379.5829, 74.2537, 0.00501, -1.8493
0.10323, -379.4251, 74.2212, 0.00497, -1.8493
0.10328, -379.2414, 74.1807, 0.00493, -1.8493
0.10332, -379.0847, 74.1491, 0.00488, -1.8493
0.10337, -378.9453, 74.1190, 0.00483, -1.8493
0.10341, -378.7828, 74.0853, 0.00478, -1.8493
0.10346, -378.6331, 74.0554, 0.00473, -1.8493
0.10350, -378.4456, 74.0145, 0.00468, -1.8493
0.10355, -378.2694, 73.9756, 0.00463, -1.8492
0.10360, -378.0428, 73.9262, 0.00457, -1.8492
0.10364, -377.8434, 73.8824, 0.00450, -1.8492
0.10369, -377.7022, 73.8545, 0.00443, -1.8492
0.10373, -377.5393, 73.8178, 0.00435, -1.8492
0.10378, -377.2999, 73.7659, 0.00428, -1.8492
0.10383, -377.0519, 73.7106, 0.00421, -1.8492
0.10387, -376.8440, 73.6648, 0.00413, -1.8492
0.10392, -376.5884, 73.6092, 0.00405, -1.8492
0.10397, -376.3305, 73.5536, 0.00396, -1.8491
0.10402, -376.1484, 73.5134, 0.00387, -1.8491
0.10406, -375.8888, 73.4575, 0.00378, -1.8491
0.10411, -375.6255, 73.3991, 0.00369, -1.8491
0.10416, -375.4288, 73.3561, 0.00359, -1.8491
